"id","label","entity_type","openatlas_class","tradition","tradition_context","date","prg_number","alt_id","source_xml","description"
"PRG-171","Oratio cum in aliquod opus ordinantur fratres.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXI","(PRG n. CLXXI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 782)","CARo - Pontifical Romano-Germanique.XML","Oratio cum in aliquod opus ordinantur fratres. (PRG-171)"
"PRG-172","Oratio cum absolvuntur.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXII","(PRG n. CLXXII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 782)","CARo - Pontifical Romano-Germanique.XML","Oratio cum absolvuntur. (PRG-172)"
"PRG-174","Oratio super eos qui ipsum mandatum adimpleverunt.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXIV","(PRG n. CLXXIV; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 783)","CARo - Pontifical Romano-Germanique.XML","Oratio super eos qui ipsum mandatum adimpleverunt. (PRG-174)"
"PRG-175","Oratio super ebdomadarios de coquina egredientes.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXV","(PRG n. CLXXV; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 783)","CARo - Pontifical Romano-Germanique.XML","Oratio super ebdomadarios de coquina egredientes. (PRG-175)"
"PRG-176","Oratio pro his qui ingrediuntur.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXVI","(PRG n. CLXXVI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 784)","CARo - Pontifical Romano-Germanique.XML","Oratio pro his qui ingrediuntur. (PRG-176)"
"PRG-177","Oratio pro ebdomadario lectore.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXVII","(PRG n. CLXXVII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 784)","CARo - Pontifical Romano-Germanique.XML","Oratio pro ebdomadario lectore. (PRG-177)"
"PRG-178","Oratio in monasterio.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXVIII","(PRG n. CLXXVIII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 784)","CARo - Pontifical Romano-Germanique.XML","Oratio in monasterio. (PRG-178)"
"PRG-179","Oratio in atrio.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXIX","(PRG n. CLXXIX; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 784)","CARo - Pontifical Romano-Germanique.XML","Oratio in atrio. (PRG-179)"
"PRG-180","Benedictio salis communis l.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXX","(PRG n. CLXXX; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 785)","CARo - Pontifical Romano-Germanique.XML","Benedictio salis communis l. (PRG-180)"
"PRG-181","Incipit maior benediccio salis et aque.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXXI","(PRG n. CLXXXI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 785)","CARo - Pontifical Romano-Germanique.XML","Incipit maior benediccio salis et aque. (PRG-181)"
"PRG-182","Benediccio salis ad oculorum dolorem.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXXII","(PRG n. CLXXXII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 793)","CARo - Pontifical Romano-Germanique.XML","Benediccio salis ad oculorum dolorem. (PRG-182)"
"PRG-183","Incipit maior benedictio salis et aque ad pecora.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CLXXXIII","(PRG n. CLXXXIII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 794)","CARo - Pontifical Romano-Germanique.XML","Incipit maior benedictio salis et aque ad pecora. (PRG-183)"
