"subject","predicate","object","certainty","source"
"ms-ocf-xv-l","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-l","currently_kept_at","repo-orle-ans-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-l-origin-chartres","occurred_at","place-chartres","probable","origin field"
"ms-ocf-xv-l","has_origin_or_context_place","place-chartres","probable","origin field"
"ms-ocf-xv-m","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-m","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-m-origin-metz","occurred_at","place-metz","probable","origin field"
"ms-ocf-xv-m","has_origin_or_context_place","place-metz","probable","origin field"
"ms-ocf-xv-n","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-n","currently_kept_at","repo-brussels-bibl-royale-albert-ier","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-n-origin-tournai","occurred_at","place-tournai","possible","origin field"
"ms-ocf-xv-n","has_origin_or_context_place","place-tournai","possible","origin field"
"event-ms-ocf-xv-n-origin-saint-martin-of-tournai","occurred_at","place-saint-martin-of-tournai","probable","origin field"
"ms-ocf-xv-n","has_origin_or_context_place","place-saint-martin-of-tournai","probable","origin field"
"ms-ocf-xv-o","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-o","currently_kept_at","repo-brugge-stedelijke-openbare-bibl","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-o-origin-ter-doest-abbey","occurred_at","place-ter-doest-abbey","probable","origin field"
"ms-ocf-xv-o","has_origin_or_context_place","place-ter-doest-abbey","probable","origin field"
"ms-ocf-xv-p","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-p","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-p-origin-noyon","occurred_at","place-noyon","probable","origin field"
"ms-ocf-xv-p","has_origin_or_context_place","place-noyon","probable","origin field"
"ms-ocf-xv-q","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-q","currently_kept_at","repo-wroc-aw-bibl-uniwersytecka","certain","shelfmark/repository metadata"
"event-ms-ocf-xv-q-origin-prague","occurred_at","place-prague","possible","origin field"
"ms-ocf-xv-q","has_origin_or_context_place","place-prague","possible","origin field"
"ms-ocf-xv-r","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-r","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xv-s","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-s","currently_kept_at","repo-chantilly-muse-e-conde","certain","shelfmark/repository metadata"
"ms-ocf-xv-t","witnesses","OCF-XV","certain","OCF-XV witness list"
"ms-ocf-xv-t","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xv-a","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xv-a","associated_with","actor-corbie-abbey","probable","entity enrichment"
"ms-ocf-xv-a","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-a","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
